id,mz_low,mz_high,name,root_region_intensity,spec_id
319,913.5577536190258,913.6017782054229,PI(22:4(7Z_10Z_13Z_16Z)/18:0)_1,155.62069702148438,efa33ff2-06fc-4b72-a59a-8117522cbb30
320,909.5333347110297,909.5639813761072,PI(18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,236.09945678710938,a47eb8d9-5169-4d05-94f8-f45511d2ad02
321,907.506239757197,907.5523444919829,PI(40:7)_1,155.0325164794922,8f452e54-b964-4525-861f-8b0f98f39f17
322,883.5217198581561,883.5462516622341,PI(16:0/22:5(4Z_7Z_10Z_13Z_16Z))_1,906.5685424804688,c0687f80-f603-4420-bc67-447b58da34b8
323,881.5001819520485,881.534770719273,PI(38:6)_1,223.38218688964844,f8f3dacb-3b7e-4056-a75a-4ad75568155a
324,878.4790693420601,878.5131097392976,PS(22:6(4Z_7Z_10Z_13Z_16Z_19Z)/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,116.63384246826172,7e5c2a6c-af87-4004-a4f0-84492a28e85c
325,872.6092243508731,872.648695858226,PS(18:0/24:1(15Z))_1,125.23977661132812,ff7e4f29-c08e-4f54-8982-cd4d6116f905
326,863.546146473986,863.5810533888797,PI(36:1)_1,277.852783203125,d26bf8be-9cda-4eb5-99af-85363a007c07
327,861.5313960999015,861.5640471210629,PI(16:0/20:2(11Z_14Z))_1,260.27252197265625,8dba232b-178c-4e39-bcb2-a901df4f2d7e
328,860.6221755007481,860.6494222870956,PS(41:0)_1,86.20869445800781,a2bf265b-e524-4f31-8acf-89075e30ae81
329,857.5059358620946,857.5313434842267,PI(16:0/20:4(5Z_8Z_11Z_14Z))_1,992.3607177734375,0d6ced2f-d8d3-4e40-8753-2d3a6ee92694
330,855.4830009191177,855.5192876838236,PI(36:5)_,156.02598571777344,06198d26-55be-4738-8ae4-19077248f22b
331,844.624230526195,844.6699750114891,PS(20:0/20:1(11Z))_1,109.19851684570312,379e1b8b-02e1-4008-8860-2f0900117407
332,844.5854345703126,844.6263536879596,PS(16:0/24:1(15Z))_1,119.05955505371094,56f4dc75-95b9-493a-9d26-9be2dc2c1dfb
333,838.5273610513041,838.5772580124261,PS(18:0/22:4(7Z_10Z_13Z_16Z))_1,354.50396728515625,163b76ea-8839-4d07-a521-935be572e76a
334,837.5238388902559,837.5619156003936,PI(16:0/18:0)_1,282.9085693359375,313c1cb7-8bc9-4457-a1d8-145e32e8fa56
335,835.5163636026504,835.5489749184138,PI(16:0/18:1(9Z))_1,950.1176147460938,e0977488-88c1-4093-8c38-6895b87522d2
336,834.5167259506032,834.5442752113826,PS(18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,1352.7525634765625,fb86acd6-4803-40cf-ba0f-067798ee5fd1
337,833.4933534869027,833.5360097369027,PI(16:1(9Z)/18:1(9Z))_1,232.0796661376953,cefe269b-6213-4ad6-b038-31f3848692a8
338,832.4924373851103,832.5301717601103,PS(18:1(9Z)/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,220.61105346679688,23b2fc96-86a3-46b3-833c-e55d4a51352d
339,818.5559712488512,818.5900383444393,PE(20:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,152.52914428710938,4d1bfc32-c5c6-4021-bd12-8c2e7bc24690
340,816.5614556740587,816.5898436538815,PS(14:0/24:1(15Z))_1,123.70128631591797,70ed8be0-879e-4e38-8aac-6e205d2506fa
341,814.5439447380514,814.5792664292279,PS(14:1(9Z)/24:1(15Z))_1,107.74258422851562,adc076a0-b858-463a-87a0-5c7c67ac8130
342,812.5191515395221,812.5582370174633,PS(18:0/20:3(8Z_11Z_14Z))_1,185.4983367919922,67bfc361-8993-40be-8e90-f7605e67a441
343,811.5128183439961,811.547116449311,PA(45:9)_1,242.42178344726562,9d9163c3-df37-4660-91df-9fd33a34d0e4
344,810.5113582100455,810.5412963867187,PS(18:0/20:4(8Z_11Z_14Z_17Z))_1,418.734619140625,0cdf0307-66ee-4f30-8060-e9861aab949b
345,809.4956282488004,809.5278917207492,PI(16:0/16:0)_1,216.67445373535156,d0f74394-cb35-4147-bc10-b035508e233a
346,797.5159291234511,797.5615289861506,PG(20:4(5Z_8Z_11Z_14Z)/18:0)_1,162.4095458984375,516ad9ab-c8f0-4792-b71b-ad06cc6246a6
347,795.4834192365344,795.5154567331011,PA(22:4(7Z_10Z_13Z_16Z)/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,137.8257293701172,cbd25175-4749-471f-8694-9bf14031f422
348,794.5581632358821,794.5803054449126,PE(18:0/22:4(7Z_10Z_13Z_16Z))_1,321.5106506347656,fa200bdb-9af9-4c4f-b8d5-9064f34182a1
349,792.5367585429996,792.5652771476687,PE(18:0/22:5(7Z_10Z_13Z_16Z_19Z))_1,342.47589111328125,88d0ec3b-932e-4b37-816e-845bcbe3b80d
350,791.447656106388,791.4844383329504,PA(22:6(4Z_7Z_10Z_13Z_16Z_19Z)/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,141.1542205810547,d4304bb9-86ff-48c8-b90d-5c18e99fb2e3
351,788.5327914623505,788.5538291119515,PS(18:0/18:1(9Z))_1,584.931396484375,b4361572-2fe6-46f7-96c2-d9a628c8a3f1
352,786.5157458207738,786.5418696365956,PS(18:0/18:2(9Z_12Z))_1,231.0370635986328,3b92422b-6988-40a2-b38f-8a5d8a1793d8
353,785.589062230444,785.6202022901468,PA(18:0/24:1(15Z))_1,78.71218872070312,bfff8f74-41d6-4a7f-baae-6685749f8229
354,783.5713500976562,783.6113891601562,PA(18:1(11Z)/24:1(15Z))_1,84.45790100097656,a526b038-9d02-4ec3-ae97-0c484b79a164
355,776.5402372951132,776.5742605411305,PE(18:0/22:5(7Z_10Z_13Z_16Z_19Z))_1,156.6383056640625,64dde510-34c9-4129-bb53-d788eee0c02a
356,775.5336855430302,775.5615877406804,PG(18:1(11Z)/18:0)_1,166.4180450439453,2c6c34e8-f73c-4e19-b7de-512a3207cc7c
357,774.5311472647014,774.5551436524206,PE(P-18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,239.41104125976562,7f817350-26df-414c-857f-d039c266fd98
